frame,x,y,w,h
0,342,110,18,35
1,342,110,18,35
2,342,110,18,35
3,342,111,18,35
4,342,111,18,35
5,342,111,18,35
6,343,111,18,35
7,343,111,18,35
8,343,111,18,35
9,343,110,18,35
10,344,110,18,35
11,344,110,18,35
12,344,110,18,35
13,344,110,18,35
14,345,109,18,35
15,345,109,18,35
16,345,109,18,35
17,345,109,18,35
18,346,110,18,35
19,346,109,18,35
20,346,109,18,35
21,347,109,18,35
22,347,108,18,35
23,348,108,18,35
24,348,108,18,35
25,349,108,18,35
26,349,109,18,35
27,350,108,18,35
28,350,110,18,35
29,351,110,18,35
30,351,112,18,35
31,417,207,18,35
32,417,207,18,35
33,418,206,18,35
34,299,113,18,35
35,299,113,18,35
36,299,113,18,35
37,299,114,18,35
38,299,114,18,35
39,414,211,18,35
40,414,211,18,35
41,415,211,18,35
42,299,114,18,35
43,414,211,18,35
44,363,106,18,35
45,363,106,18,35
46,364,105,18,35
47,365,105,18,35
48,365,105,18,35
49,418,208,18,35
50,419,208,18,35
51,418,209,18,35
52,418,209,18,35
53,418,209,18,35
54,300,114,18,35
55,300,114,18,35
56,418,209,18,35
57,419,207,18,35
58,418,207,18,35
59,418,207,18,35
60,419,207,18,35
61,299,114,18,35
62,418,207,18,35
63,418,208,18,35
64,418,208,18,35
65,418,208,18,35
66,320,105,18,35
67,299,113,18,35
68,299,114,18,35
69,298,114,18,35
70,298,114,18,35
71,298,114,18,35
72,298,114,18,35
73,298,114,18,35
74,298,114,18,35
75,298,114,18,35
76,299,114,18,35
77,298,114,18,35
78,298,114,18,35
79,298,114,18,35
80,298,114,18,35
81,298,114,18,35
82,298,114,18,35
83,298,114,18,35
84,298,114,18,35
85,298,114,18,35
86,298,114,18,35
87,298,114,18,35
88,298,114,18,35
89,298,114,18,35
90,298,114,18,35
91,299,114,18,35
92,298,115,18,35
93,298,115,18,35
94,298,115,18,35
95,298,115,18,35
96,298,115,18,35
97,456,184,18,35
98,456,184,18,35
99,414,212,18,35
100,418,208,18,35
101,418,208,18,35
102,418,208,18,35
103,418,207,18,35
104,418,207,18,35
105,418,207,18,35
106,418,207,18,35
107,418,207,18,35
108,418,207,18,35
109,418,207,18,35
110,418,207,18,35
111,418,207,18,35
112,418,207,18,35
113,298,115,18,35
114,418,207,18,35
115,299,115,18,35
116,300,115,18,35
117,456,184,18,35
118,414,212,18,35
119,300,115,18,35
120,298,115,18,35
121,368,95,18,35
122,368,95,18,35
123,414,212,18,35
124,368,95,18,35
125,368,95,18,35
126,368,95,18,35
127,367,95,18,35
128,414,211,18,35
129,367,95,18,35
130,414,211,18,35
131,414,211,18,35
132,368,95,18,35
133,418,206,18,35
134,414,211,18,35
135,418,206,18,35
136,418,206,18,35
137,418,206,18,35
138,414,211,18,35
139,414,211,18,35
140,299,114,18,35
141,319,110,18,35
142,319,110,18,35
143,418,208,18,35
144,418,208,18,35
145,319,110,18,35
146,319,110,18,35
147,319,110,18,35
148,319,110,18,35
149,319,110,18,35
150,319,110,18,35
151,319,110,18,35
152,319,110,18,35
153,319,110,18,35
154,319,110,18,35
155,319,110,18,35
156,319,110,18,35
157,319,110,18,35
158,419,206,18,35
159,419,207,18,35
160,300,115,18,35
161,299,115,18,35
162,299,115,18,35
163,300,115,18,35
164,300,115,18,35
165,319,111,18,35
166,319,111,18,35
167,300,115,18,35
168,300,115,18,35
169,300,115,18,35
170,300,115,18,35
171,300,115,18,35
172,319,111,18,35
173,300,115,18,35
174,300,115,18,35
175,319,110,18,35
176,319,110,18,35
177,319,110,18,35
178,368,95,18,35
179,369,95,18,35
180,368,95,18,35
181,368,95,18,35
182,415,211,18,35
183,415,211,18,35
184,299,114,18,35
185,299,114,18,35
186,299,114,18,35
187,418,208,18,35
188,418,208,18,35
189,418,208,18,35
190,419,207,18,35
191,418,208,18,35
192,418,208,18,35
193,418,206,18,35
194,419,207,18,35
195,418,208,18,35
196,419,207,18,35
197,419,207,18,35
198,419,207,18,35
199,418,206,18,35
200,419,206,18,35
201,419,206,18,35
202,419,206,18,35
203,419,206,18,35
204,419,206,18,35
205,419,206,18,35
206,419,206,18,35
207,419,206,18,35
208,419,206,18,35
209,415,211,18,35
210,415,211,18,35
211,415,211,18,35
212,419,207,18,35
213,419,207,18,35
214,319,110,18,35
215,420,207,18,35
216,420,207,18,35
217,300,115,18,35
218,300,115,18,35
219,300,115,18,35
220,419,207,18,35
221,419,207,18,35
222,419,207,18,35
223,419,207,18,35
224,419,207,18,35
225,419,207,18,35
226,300,115,18,35
227,300,115,18,35
228,419,207,18,35
229,419,207,18,35
230,419,207,18,35
231,420,207,18,35
232,420,207,18,35
233,419,209,18,35
234,300,115,18,35
235,300,115,18,35
236,300,115,18,35
237,416,212,18,35
238,416,211,18,35
239,416,211,18,35
240,416,211,18,35
241,419,208,18,35
242,419,207,18,35
243,419,206,18,35
244,419,206,18,35
245,419,206,18,35
246,419,206,18,35
247,419,206,18,35
248,368,94,18,35
249,369,94,18,35
250,368,94,18,35
251,368,94,18,35
252,368,94,18,35
253,368,94,18,35
254,368,94,18,35
255,368,94,18,35
256,368,94,18,35
257,368,94,18,35
258,368,94,18,35
259,368,94,18,35
260,415,210,18,35
261,368,94,18,35
262,369,94,18,35
263,415,210,18,35
264,382,91,18,35
