frame,x,y,w,h
0,50,170,390,187
1,56,169,390,187
2,63,169,390,187
3,69,169,390,187
4,73,168,390,187
5,84,168,390,187
6,89,168,390,187
7,95,167,390,187
8,93,167,390,187
9,94,166,390,187
10,97,165,390,187
11,101,165,390,187
12,107,165,390,187
13,110,165,390,187
14,114,164,390,187
15,119,164,390,187
16,124,164,390,187
17,126,164,390,187
18,126,163,390,187
19,131,163,390,187
20,134,162,390,187
21,134,161,390,187
22,136,161,390,187
23,140,161,390,187
24,126,166,390,187
25,132,166,390,187
26,136,166,390,187
27,132,159,390,187
28,134,159,390,187
29,140,165,390,187
30,142,165,390,187
31,144,165,390,187
32,147,164,390,187
33,153,164,390,187
34,155,164,390,187
35,155,164,390,187
36,156,164,390,187
37,159,164,390,187
38,161,163,390,187
39,162,163,390,187
40,163,163,390,187
41,140,155,390,187
42,140,154,390,187
43,142,154,390,187
44,200,161,390,187
45,200,161,390,187
46,156,163,390,187
47,156,163,390,187
48,155,165,390,187
49,155,164,390,187
50,155,159,390,187
51,155,159,390,187
52,155,159,390,187
53,155,159,390,187
54,50,170,390,187
55,50,170,390,187
56,50,170,390,187
57,50,170,390,187
58,50,170,390,187
59,50,170,390,187
60,50,170,390,187
61,50,170,390,187
62,50,170,390,187
63,50,170,390,187
64,50,170,390,187
65,50,170,390,187
66,50,170,390,187
67,50,170,390,187
68,50,170,390,187
69,50,170,390,187
70,50,170,390,187
71,50,170,390,187
72,50,170,390,187
73,50,170,390,187
74,50,170,390,187
75,50,170,390,187
76,50,170,390,187
77,50,170,390,187
78,50,170,390,187
79,50,170,390,187
80,50,170,390,187
81,50,170,390,187
82,50,170,390,187
83,50,170,390,187
84,50,170,390,187
85,50,170,390,187
86,50,170,390,187
87,50,170,390,187
88,50,170,390,187
89,50,170,390,187
90,50,170,390,187
91,50,170,390,187
92,50,170,390,187
93,50,170,390,187
94,50,170,390,187
95,50,170,390,187
96,50,170,390,187
97,50,170,390,187
98,50,170,390,187
99,50,170,390,187
100,50,170,390,187
101,50,170,390,187
102,50,170,390,187
103,50,170,390,187
104,50,170,390,187
105,50,170,390,187
106,50,170,390,187
107,50,170,390,187
108,50,170,390,187
109,50,170,390,187
110,50,170,390,187
111,50,170,390,187
112,50,170,390,187
113,50,170,390,187
114,50,170,390,187
115,50,170,390,187
116,50,170,390,187
117,50,170,390,187
118,50,170,390,187
119,50,170,390,187
120,50,170,390,187
121,50,170,390,187
122,50,170,390,187
123,50,170,390,187
124,50,170,390,187
125,50,170,390,187
126,50,170,390,187
127,50,170,390,187
128,50,170,390,187
129,50,170,390,187
130,50,170,390,187
131,50,170,390,187
132,50,170,390,187
133,50,170,390,187
134,50,170,390,187
135,50,170,390,187
136,50,170,390,187
137,50,170,390,187
138,50,170,390,187
139,50,170,390,187
140,50,170,390,187
141,50,170,390,187
142,50,170,390,187
143,50,170,390,187
144,50,170,390,187
145,50,170,390,187
146,50,170,390,187
147,50,170,390,187
148,50,170,390,187
149,50,170,390,187
150,50,170,390,187
151,50,170,390,187
152,50,170,390,187
153,50,170,390,187
154,50,170,390,187
155,50,170,390,187
156,50,170,390,187
